name,affiliation
A. Aldo Faisal,Imperial College London
A. Antony Franklin,IIT Hyderabad
A. C. Cem Say,Boğaziçi University
A. C. W. Finkelstein,University College London
A. Cüneyd Tantug,Istanbul Technical University
A. D. Fekete,University of Sydney
A. E. Eiben,VU Amsterdam
A. Ercument Cicek,Bilkent University
A. J. Field,Imperial College London
A. J. Jansen,CWI
A. J. Kfoury,Boston University
A. Jefferson Offutt,George Mason University
A. John Power,University of Bath
A. M. A. Hemmatyar,Sharif University of Technology
A. Neil Arnason,University of Manitoba
A. P. Wim Böhm,Colorado State University
A. Prasad Sistla,University of Illinois at Chicago
A. Prasad Vinod,Nanyang Technological University
A. Rau-Chaplin,Dalhousie University
A. Robert Calderbank,Duke University
A. S. Madhukumar,Nanyang Technological University
A. Sima Etaner-Uyar,Istanbul Technical University
A. T. Chamillard,Univ. of Colorado Colorado Springs
A. Taylan Cemgil,Boğaziçi University
A. Th. Schreiber,VU Amsterdam
A. Udaya Shankar,University of Maryland - College Park
A. V. Subramanyam,IIIT Delhi
A. W. Roscoe,University of Oxford
A. William Roscoe,University of Oxford
A. Yurdakul,Boğaziçi University
Aaditeshwar Seth,IIT Delhi
Aamena Alshamsi,Masdar Institute
Aamir Cheema,Monash University
Aanjhan Ranganathan,Northeastern University
Aaram Yun,UNIST
Aaron Bernstein,Rutgers University
Aaron Bloomfield,University of Virginia
Aaron Bobick,Washington University in St. Louis
Aaron C. Courville,University of Montreal
Aaron Clauset,University of Colorado Boulder
Aaron D. Striegel,University of Notre Dame
Aaron F. Bobick,Washington University in St. Louis
Aaron Harwood,University of Melbourne
Aaron Henry Potechin,University of Chicago
Aaron J. Elmore,University of Chicago
Aaron Leon Roth,University of Pennsylvania
Aaron Potechin,University of Chicago
Aaron Roth,University of Pennsylvania
Aaron Sidford,Stanford University
Aaron Striegel,University of Notre Dame
Aaron Stump,University of Iowa
Aarti Gupta,Princeton University
Aarti Singh,Carnegie Mellon University
Aasa Feragen,University of Copenhagen
Abbas Edalat,Imperial College London
Abbas Heydarnoori,Sharif University of Technology
Abbe Mowshowitz,CUNY
Abbes Amira,Qatar University
Abdallah Saffidine,UNSW
Abdel Latif Abu Dalhoum,University of Jordan
Abdelaziz Bouras,Qatar University
Abdelfattah Amamra,University of Connecticut
Abdelhakim Hafid,University of Montreal
Abdelhakim Senhaji Hafid,University of Montreal
Abdelkarim Erradi,Qatar University
Abdelsalam Helal,University of Florida
Abdeslam Boularias,Rutgers University
Abdol-Hossein Esfahanian,Michigan State University
Abdolreza Abhari,Ryerson University
Abdou S. Youssef,George Washington University
Abdou Youssef,George Washington University
Abdul Mohsen Almalawi,King Abdulaziz University
Abdulaziz Ali,Qatar University
Abdulla K. Al-Ali,Qatar University
Abdullah Algarni,King Abdulaziz University
Abdullah Basuhail,King Abdulaziz University
Abdullah Ercument Cicek,Bilkent University
Abdullah Mueen,University of New Mexico
Abdullah Muzahid,University of Texas at San Antonio
Abdullah Uz Tansel,CUNY
Abdulmohsen Almalawi,King Abdulaziz University
Abdulmotaleb El-Saddik,University of Ottawa
