,area,conf,institution,name,numauthors,number,pageCount,startPage,title,volume,year,region,from_hessen
1065,www,WWW,Max Planck Institute,Adish Singla,2,0,12,1167,Truthful incentives in crowdsourcing tasks using regret minimization mechanisms.,0,2013,europe,False
1066,aaai,AAAI,Max Planck Institute,Adish Singla,4,0,7,152,Stochastic Privacy.,0,2014,europe,False
1068,icml,ICML,Max Planck Institute,Adish Singla,5,0,9,154,Near-Optimally Teaching the Crowd to Classify.,0,2014,europe,False
1069,www,WWW,Max Planck Institute,Adish Singla,4,0,12,431,From devices to people: attribution of search activity in multi-user settings.,0,2014,europe,False
1070,aaai,AAAI,Max Planck Institute,Adish Singla,6,0,7,723,Incentivizing Users for Balancing Bike Sharing Systems.,0,2015,europe,False
1071,ijcai,IJCAI,Max Planck Institute,Adish Singla,4,0,10,844,Building Hierarchies of Concepts via Crowdsourcing.,0,2015,europe,False
1072,ijcai,IJCAI,Max Planck Institute,Adish Singla,5,0,98,891,Information Gathering in Networks via Active Exploration.,0,2015,europe,False
1073,aaai,AAAI,Max Planck Institute,Adish Singla,3,0,7,2037,Noisy Submodular Maximization via Adaptive Sampling with Applications to Crowdsourced Image Collection Summarization.,0,2016,europe,False
1074,icml,ICML,Max Planck Institute,Adish Singla,3,0,9,412,Actively Learning Hemimetrics with Applications to Eliciting User Preferences.,0,2016,europe,False
1075,aaai,AAAI,Max Planck Institute,Adish Singla,3,0,7,2667,Selecting Sequences of Items via Submodular Maximization.,0,2017,europe,False
1076,aaai,AAAI,Max Planck Institute,Adish Singla,4,0,8,1603,Information Gathering With Peers: Submodular Optimization With Peer-Prediction Constraints.,0,2018,europe,False
1077,aaai,AAAI,Max Planck Institute,Adish Singla,4,0,9,2248,Learning User Preferences to Incentivize Exploration in the Sharing Economy.,0,2018,europe,False
1078,aaai,AAAI,Max Planck Institute,Adish Singla,3,0,8,4083,Learning to Interact With Learning Agents.,0,2018,europe,False
1079,kdd,KDD,Max Planck Institute,Adish Singla,7,0,10,2239,A Unified Approach to Quantifying Algorithmic Unfairness: Measuring Individual &Group Unfairness via Inequality Indices.,0,2018,europe,False
1080,nips,NeurIPS,Max Planck Institute,Adish Singla,3,0,10,1774,Enhancing the Accuracy and Fairness of Human Decision Making.,0,2018,europe,False
1081,nips,NeurIPS,Max Planck Institute,Adish Singla,3,0,10,8473,Teaching Inverse Reinforcement Learners via Features and Demonstrations.,0,2018,europe,False
1082,nips,NeurIPS,Max Planck Institute,Adish Singla,5,0,11,1483,Understanding the Role of Adaptivity in Machine Teaching: The Case of Version Space Learners.,0,2018,europe,False
12356,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,2,0,10,610,Object Recognition Using Multidimensional Receptive Field Histograms.,0,1996,europe,False
12358,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,3,0,16,475,Comprehensive Colour Image Normalization.,0,1998,europe,False
12359,iccv,ICCV,Max Planck Institute,Bernt Schiele,2,0,6,249,Transinformation for Active Object Recognition.,0,1998,europe,False
12361,iccv,ICCV,Max Planck Institute,Bernt Schiele,2,0,6,177,Probabilistic Object Recognition and Localization.,0,1999,europe,False
12364,eccv,ECCV (4),Max Planck Institute,Bernt Schiele,2,0,18,49,On Performance Characterization and Optimization for Image Retrieval.,0,2002,europe,False
12374,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,-1,-1,Towards Robust Pedestrian Detection in Crowded Image Sequences.,0,2007,europe,False
12375,iccv,ICCV,Max Planck Institute,Bernt Schiele,2,0,8,1,How Good are Local Features for Classes of Geometric Objects.,0,2007,europe,False
12377,cvpr,CVPR,Max Planck Institute,Bernt Schiele,2,0,-1,-1,"Decomposition, discovery and detection of visual categories using topic models.",0,2008,europe,False
12378,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,-1,-1,People-tracking-by-detection and people-detection-by-tracking.,0,2008,europe,False
12379,eccv,ECCV (2),Max Planck Institute,Bernt Schiele,3,0,14,527,Hierarchical Support Vector Random Fields: Joint Training to Combine Local and Global Features.,0,2008,europe,False
12380,eccv,ECCV (4),Max Planck Institute,Bernt Schiele,2,0,15,733,A Dynamic Conditional Random Field Model for Joint Labeling of Object and Scene Classes.,0,2008,europe,False
12382,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,2238,Discriminative structure learning of hierarchical representations for object detection.,0,2009,europe,False
12383,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,794,Multi-cue onboard pedestrian detection.,0,2009,europe,False
12384,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,304,Pedestrian detection: A benchmark.,0,2009,europe,False
12385,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,1014,Pictorial structures revisited: People detection and articulated pose estimation.,0,2009,europe,False
12386,iccv,ICCV,Max Planck Institute,Bernt Schiele,3,0,8,373,A shape-based object class model for knowledge transfer.,0,2009,europe,False
12387,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,121,Automatic discovery of meaningful object parts with latent CRFs.,0,2010,europe,False
12388,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,623,Monocular 3D pose estimation and tracking by detection.,0,2010,europe,False
12389,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,990,Multi-cue pedestrian classification with partial occlusion handling.,0,2010,europe,False
12390,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,1030,New features and insights for pedestrian detection.,0,2010,europe,False
12391,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,8,910,What helps where - and why? Semantic relatedness for knowledge transfer.,0,2010,europe,False
12392,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,3,0,14,720,Extracting Structures in Image Collections for Object Recognition.,0,2010,europe,False
12393,eccv,ECCV (4),Max Planck Institute,Bernt Schiele,4,0,15,467,Monocular 3D Scene Modeling and Inference: Understanding Multi-Object Traffic Scenes.,0,2010,europe,False
12394,eccv,ECCV (6),Max Planck Institute,Bernt Schiele,3,0,14,182,"Disparity Statistics for Pedestrian Detection: Combining Appearance, Motion and Stereo.",0,2010,europe,False
12396,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,1641,Evaluating knowledge transfer and zero-shot learning in a large-scale setting.,0,2011,europe,False
12397,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,8,1473,Learning people detection models from few training samples.,0,2011,europe,False
12398,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,1993,Monocular 3D scene understanding with explicit occlusion reasoning.,0,2011,europe,False
12399,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,1194,A database for fine grained activity detection of cooking activities.,0,2012,europe,False
12400,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,8,3178,Articulated people detection and pose estimation: Reshaping the future.,0,2012,europe,False
12401,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,3626,RALF: A reinforced active learning formulation for object class recognition.,0,2012,europe,False
12402,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,3362,Teaching 3D geometry to deformable part models.,0,2012,europe,False
12403,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,6,0,14,144,Script Data for Attribute-Based Recognition of Composite Activities.,0,2012,europe,False
12404,eccv,ECCV (6),Max Planck Institute,Bernt Schiele,4,0,15,356,3D2PM - 3D Deformable Part Models.,0,2012,europe,False
12405,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,3286,Occlusion Patterns for Object Class Detection.,0,2013,europe,False
